Station_levl,测站级别
Snow_Depth_A5cm_Days,积雪深度≥5cm日数
Snow_Depth_A10cm_Days,积雪深度≥10cm日数
Snow_Depth_A20cm_Days,积雪深度≥20cm日数
Snow_Depth_A30cm_Days,积雪深度≥30cm日数
EICE_Wei_Max,电线积冰最大重量
EICEW_Max_Diam,电线积冰最大重量的相应直径
EICEW_Max_Thick,电线积冰最大重量的相应厚度
V20440_040,电线积冰最大重量出现日数
EICEW_Max_ODay_C,电线积冰最大重量出现日
WIN_D_S_Max_C,日最大风速的风向(角度)
Days_WIN_S_Max,最大风速出现日数
WIN_S_Max_ODay_C,最大风速出现日
WIN_S_A5ms_Days,最大风速≥5.0m/s日数
WIN_S_Max_A10ms_Days,最大风速≥10m/s日数
WIN_S_A12ms_Days,最大风速≥12m/s日数
V11042_15,最大风速≥15m/s日数
WIN_S_A17ms_Days,最大风速≥17m/s日数
WIN_D_INST_Max_C,极大风速的风向(角度)
V11046_040,极大风速之出现日数
WIN_S_INST_Max_ODay_C,极大风速出现日
WIN_NNE_Freq,NNE风向出现频率
WIN_NE_Freq,NE风向出现频率
WIN_ENE_Freq,ENE风向出现频率
WIN_E_Freq,E风向出现频率
WIN_ESE_Freq,ESE风向出现频率
WIN_SE_Freq,SE风向出现频率
WIN_SSE_Freq,SSE风向出现频率
WIN_S_Freq,S风向出现频率
WIN_SSW_Freq,SSW风向出现频率
WIN_SW_Freq,SW风向出现频率
WIN_WSW_Freq,WSW风向出现频率
WIN_W_Freq,W风向出现频率
WIN_WNW_Freq,WNW风向出现频率
WIN_NW_Freq,NW风向出现频率
WIN_NNW_Freq,NNW风向出现频率
WIN_N_Freq,N风向出现频率
WIN_C_Freq,C风向(静风)出现频率
WIN_D_Max_C,最多风向
WIN_D_Max_Freq,最多风向出现频率
WIN_D_SMax_C,次多风向
WIN_D_SMax_Freq,次多风向频率
WIN_S_Avg_NNE,NNE风的平均风速
WIN_S_Avg_NE,NE风的平均风速
WIN_S_Avg_ENE,ENE的平均风速
WIN_S_Avg_E,E风的平均风速
WIN_S_Avg_ESE,ESE风的平均风速
WIN_S_Avg_SE,SE风的平均风速
WIN_S_Avg_SSE,SSE风的平均风速
WIN_S_Avg_S,S风的平均风速
WIN_S_Avg_SSW,SSW风的平均风速
WIN_S_Avg_SW,SW风的平均风速
WIN_S_Avg_WSW,WSW风的平均风速
WIN_S_Avg__W,W风的平均风速
WIN_S_Avg_WNW,WNW风的平均风速
WIN_S_Avg_NW,NW风的平均风速
WIN_S_Avg_NNW,NNW风的平均风速
WIN_S_Avg__N,N风的平均风速
WIN_S_Max_NNE,NNE风的最大风速
WIN_S_Max_NE,NE风的最大风速
WIN_S_Max_ENE,ENE风的最大风速
WIN_S_Max_E,E风的最大风速
WIN_S_Max_ESE,ESE风的最大风速
WIN_S_Max_SE,SE风的最大风速
WIN_S_Max_SSE,SSE风的最大风速
WIN_S_Max_S,S风的最大风速
WIN_S_Max_SSW,SSW风的最大风速
WIN_S_Max_SW,SW风的最大风速
WIN_S_Max_WSW,WSW风的最大风速
WIN_S_Max_W,W风的最大风速
WIN_S_Max_WNW,WNW风的最大风速
WIN_S_Max_NW,NW风的最大风速
WIN_S_Max_NNW,NNW风的最大风速
WIN_S_Max_N,N风的最大风速
EGST_Max_Avg_Mon,月平均最高地面温度
GST_Min_Avg,月平均最低地面温度
GST_Min_Bel_0_Days,日最低地面温度≤0.0℃日数
EGST_Max_Days,极端最高地面气温出现日数
EGST_Max_ODay_C,极端最高地面温度出现日
Days_GST_Min,极端最低地面气温出现日数
GST_Min_Ten_ODay_C,旬极端最低地面温度出现日
LGST_Max_Avg,平均最高草面(雪面)温度
LGST_Min_Avg,平均最低草面(雪面)温度
LGST_Max_Days,极端最高草面(雪面)温度出现日数
LGST_Max_ODay_C,极端草面(雪面)最高温度出现日
LGST_Min_Days,极端最低草面(雪面)温度出现日数
LGST_Min_ODay_C,极端草面(雪面)最低温度出现日
FRS_Depth_Max,最大冻土深度
FRS_Depth_Max_Days,最大冻土深度出现日数
FRS_Depth_Max_ODay_C,最大冻土深度出现日
SSP_Mon,月日照百分率
SSP_A60_Mon_Days,月日照百分率≥60%日数
SSP_B20_Mon_Days,月日照百分率≤20%日数
PRS_Max_Odate,极端最高本站气压出现月日
PRS_Min_Odate,极端最低本站气压出现月日
TEM_Year_Dev,气温年较差
V12011_067,极端最高气温出现月日
V12012_067,极端最低气温出现月日
V12304_067,最大气温日较差出现月日
TEM_Dev_Min_Odate,最小气温日较差出现月日
TEM_Max_A30_LCDays,日最高气温≥30.0℃最长连续日数
TEM_Max_A30_LCDays_EMon,日最高气温≥30.0℃最长连续日数之止月
TEM_Max_A30_LCDays_EDay,日最高气温≥30.0℃最长连续日数之止日
TEM_Max_A35_LCDays,日最高气温≥35.0℃最长连续日数
TEM_Max_A35_LCDays_EMon,日最高气温≥35.0℃最长连续日数之止月
TEM_Max_A35_LCDays_EDay,日最高气温≥35.0℃最长连续日数之止日
TEM_Max_A40_LCDays,日最高气温≥40.0℃最长连续日数
TEM_Max_A40_LCDays_EMon,日最高气温≥40.0℃最长连续日数之止月
TEM_Max_A40_LCDays_EDay,日最高气温≥40.0℃最长连续日数之止日
TEM_Min_B2_LCDays,日最低气温<2.0℃最长连续日数
TEM_Min_B2_LCDays_EMon,日最低气温<2.0℃最长连续日数之止月
TEM_Min_B2_LCDays_EDay,日最低气温<2.0℃最长连续日数之止日
TEM_Min_B0_LCDays,日最低气温<0.0℃最长连续日数
TEM_Min_B0_LCDays_EMon,日最低气温<0.0℃最长连续日数之止月
TEM_Min_B0_LCDays_EDay,日最低气温<0.0℃最长连续日数之止日
TEM_Min_BM2_LCDays,日最低气温<-2.0℃最长连续日数
TEM_Min_BM2_LCDays_EMon,日最低气温<-2.0℃最长连续日数之止月
TEM_Min_BM2_LCDays_EDay,日最低气温<-2.0℃最长连续日数之止日
TEM_Min_BM15_LCDays,日最低气温<-15.0℃最长连续日数
TEM_Min_BM15_LCDays_EMon,日最低气温<-15.0℃最长连续日数之止月
TEM_Min_BM15_LCDays_EDay,日最低气温<-15.0℃最长连续日数之止日
TEM_Min_BM30_LCDays,日最低气温<-30.0℃最长连续日数
TEM_Min_BM30_LCDays_EMon,日最低气温<-30.0℃最长连续日数之止月
TEM_Min_BM30_LCDays_EDay,日最低气温<-30.0℃最长连续日数之止日
TEM_Min_BM40_LCDays,日最低气温<-40.0℃最长连续日数
TEM_Min_BM40_LCDays_EMon,日最低气温<-40.0℃最长连续日数之止月
TEM_Min_BM40_LCDays_EDay,日最低气温<-40.0℃最长连续日数之止日
TEM_Avg_StPas_0_SMon,日平均气温稳定通过0.0℃之起始月
TEM_Avg_StPas_0_SDay,日平均气温稳定通过0.0℃之起日
TEM_Avg_StPas_0_EMon,日平均气温稳定通过0.0℃之止月
TEM_Avg_StPas_0_EDay,日平均气温稳定通过0.0℃之止日
ACTEM_TEM_Avg_StPas_0,日平均气温稳定通过0.0℃之积温
PRE_TEM_Avg_StPas_0,日平均气温稳定通过0.0℃之降水量
SSH_TEM_Avg_StPas_0,日平均气温稳定通过0.0℃之日照时数
TEM_Avg_StPas_5_SMon,日平均气温稳定通过5.0℃之起始月
TEM_Avg_StPas_5_SDay,日平均气温稳定通过5.0℃之起日
TEM_Avg_StPas_5_EMon,日平均气温稳定通过5.0℃之止月
TEM_Avg_StPas_5_EDay,日平均气温稳定通过5.0℃之止日
ACTEM_TEM_Avg_StPas_5,日平均气温稳定通过5.0℃之积温
PRE_TEM_Avg_StPas_5,日平均气温稳定通过5.0℃之降水量
SSH_TEM_Avg_StPas_5,日平均气温稳定通过5.0℃之日照时数
TEM_Avg_StPas_10_SMon,日平均气温稳定通过10.0℃之起始月
TEM_Avg_StPas_10_SDay,日平均气温稳定通过10.0℃之起日
TEM_Avg_StPas_10_EMon,日平均气温稳定通过10.0℃之止月
